iter	Passed	Remaining
372	98422	957050
373	98691	956828
374	98960	956621
375	99234	956455
376	99490	956111
377	99740	955712
378	99990	955321
379	100249	955004
380	100493	954559
381	100746	954187
382	101002	953852
383	101254	953479
384	101519	953226
385	101762	952768
386	102012	952382
387	102272	952080
388	102519	951664
389	102785	951423
390	103048	951158
391	103308	950857
392	103563	950515
393	103848	950450
394	104110	950171
395	104380	949969
396	104635	949625
397	104906	949430
398	105153	949017
399	105411	948699
400	105669	948389
401	105918	947994
402	106160	947542
403	106416	947214
404	106679	946946
405	106936	946623
406	107238	946700
407	107504	946458
408	107766	946185
409	108054	946139
410	108319	945881
411	108590	945686
412	108840	945307
413	109087	944897
414	109340	944540
415	109587	944141
416	109845	943828
417	110090	943407
418	110351	943120
419	110599	942730
420	110872	942549
421	111139	942317
422	111400	942028
423	111657	941713
424	111975	941912
425	112220	941496
426	112473	941140
427	112727	940796
428	112974	940404
429	113237	940137
430	113498	939849
431	113752	939508
432	114016	939251
433	114273	938941
434	114523	938568
435	114782	938268
436	115042	937976
437	115292	937609
438	115544	937251
439	115801	936940
440	116057	936618
441	116308	936256
442	116561	935909
443	116817	935593
444	117082	935343
445	117343	935067
446	117596	934718
447	117856	934433
448	118111	934107
449	118369	933806
450	118624	933476
451	119096	934853
452	119905	938862
453	120705	942778
454	121540	946946
455	122314	950621
456	123525	957662
457	124305	961335
458	125120	965254
459	125854	968529
460	126616	972010
461	127386	975525
462	128192	979305
463	128952	982709
464	129769	986530
465	130524	989857
466	131258	993014
467	132050	996584
468	132894	1000530
469	133627	1003627
470	134368	1006767
471	135097	1009799
472	135867	1013114
473	136691	1016825
474	137453	1020050
475	138211	1023226
476	138939	1026173
477	139685	1029233
478	140416	1032166
479	141145	1035068
480	141912	1038230
481	142684	1041417
482	143448	1044534
483	144237	1047805
484	145002	1050895
485	145748	1053826
486	146499	1056780
487	147263	1059815
488	148071	1063147
489	148890	1066545
490	149661	1069579
491	150413	1072461
492	151162	1075310
493	151917	1078184
494	152766	1081707
495	153565	1084866
496	154338	1087819
497	155115	1090795
498	155868	1093577
499	156612	1096284
500	157613	1100774
501	158352	1103422
502	159142	1106405
503	159893	1109101
504	160695	1112139
505	161471	1114986
506	162250	1117833
507	163036	1120712
508	163869	1123908
509	164615	1126486
510	165506	1130045
511	166295	1132885
512	167073	1135643
513	167843	1138332
514	168575	1140746
515	169363	1143531
516	170175	1146465
517	170944	1149092
518	171690	1151552
519	172499	1154417
520	173316	1157331
521	174056	1159710
522	174870	1162573
523	175655	1165223
524	176473	1168083
525	177294	1170955
526	178050	1173378
527	178685	1174991
528	179011	1174571
529	179330	1174109
530	179630	1173521
531	179922	1172877
532	180268	1172592
533	180558	1171939
534	180837	1171219
535	181169	1170842
536	181438	1170061
537	181729	1169420
538	182040	1168908
539	182335	1168299
540	182631	1167695
541	182906	1166958
542	183173	1166170
543	183433	1165342
544	183704	1164588
545	184035	1164209
546	184338	1163659
547	184640	1163101
548	184928	1162456
549	185204	1161735
550	185453	1160852
551	185710	1160017
552	185958	1159131
553	186222	1158342
554	186476	1157500
555	186743	1156737
556	187007	1155956
557	187270	1155169
558	187546	1154470
559	187815	1153722
560	188113	1153158
561	188407	1152569
562	188696	1151955
563	188988	1151356
564	189268	1150686
565	189549	1150020
566	189808	1149229
567	190072	1148466
568	190326	1147644
569	190594	1146913
570	190863	1146185
571	191120	1145383
572	191393	1144683
573	191676	1144050
574	191988	1143581
575	192290	1143061
576	192566	1142383
577	192830	1141637
578	193102	1140936
579	193349	1140097
580	193600	1139274
581	193826	1138317
582	194066	1137438
583	194298	1136513
584	194632	1136187
585	194879	1135357
586	195119	1134486
587	195350	1133561
588	195590	1132697
589	195840	1131892
590	196079	1131021
591	196321	1130173
592	196555	1129282
593	196793	1128414
594	197039	1127595
595	197273	1126711
596	197511	1125846
597	197741	1124945
598	197996	1124185
599	198232	1123316
600	198465	1122435
601	198702	1121578
602	198940	1120729
603	199186	1119928
604	199421	1119065
605	199653	1118192
606	199902	1117409
607	200137	1116556
608	200372	1115705
609	200608	1114857
610	200850	1114044
611	201084	1113190
612	201315	1112328
613	201554	1111505
614	201790	1110666
615	202026	1109835
616	202271	1109053
617	202508	1108223
618	202750	1107428
619	203000	1106679
620	203228	1105813
621	203464	1104988
622	203703	1104186
623	203957	1103463
624	204189	1102623
625	204418	1101769
626	204656	1100968
627	204895	1100171
628	205130	1099357
629	205359	1098512
630	205596	1097709
631	205833	1096910
632	206074	1096132
633	206309	1095328
634	206551	1094559
635	206783	1093739
636	207033	1093019
637	207263	1092192
638	207488	1091346
639	207722	1090541
640	207953	1089730
641	208184	1088914
642	208419	1088123
643	208658	1087357
644	208889	1086547
645	209131	1085802
646	209359	1084982
647	209589	1084174
648	209817	1083358
649	210054	1082587
650	210307	1081902
651	210537	1081105
652	210802	1080483
653	211064	1079850
654	211298	1079075
655	211540	1078338
656	211773	1077563
657	212008	1076795
658	212238	1076008
659	212466	1075207
660	212704	1074462
661	212957	1073797
662	213195	1073052
663	213445	1072369
664	213673	1071583
665	213910	1070836
666	214146	1070091
667	214392	1069393
668	214627	1068646
669	214862	1067900
670	215094	1067139
671	215334	1066417
672	215568	1065671
673	215796	1064892
674	216037	1064184
675	216270	1063435
676	216496	1062656
677	216728	1061905
678	216955	1061131
679	217186	1060380
680	217414	1059616
681	217642	1058855
682	217891	1058193
683	218120	1057438
684	218354	1056707
685	218579	1055938
686	218808	1055185
687	219044	1054469
688	219277	1053741
689	219509	1053007
690	219743	1052290
691	220032	1051831
692	220269	1051129
