iter	RMSE
0	15.88104375
1	15.09104287
2	14.34091618
3	13.62824313
4	12.95142031
5	12.30870266
6	11.69815672
7	11.11833601
8	10.5677245
9	10.0451061
10	9.548644495
11	9.077203698
12	8.629826922
13	8.205051742
14	7.801794411
15	7.418993932
16	7.055707555
17	6.707912366
18	6.380555987
19	6.070025405
20	5.775362834
21	5.49306741
22	5.227830139
23	4.97628242
24	4.737858551
25	4.508504936
26	4.290208302
27	4.083451852
28	3.890566699
29	3.707915076
30	3.531160001
31	3.367242515
32	3.208330617
33	3.057845862
34	2.915451869
35	2.779416498
36	2.651403608
37	2.530357059
38	2.41467993
39	2.305771906
40	2.205124424
41	2.107881265
42	2.016483842
43	1.930281995
44	1.847828851
45	1.770029248
46	1.696925091
47	1.627895385
48	1.56280181
49	1.501665028
50	1.443302325
51	1.390056902
52	1.338483759
53	1.288585806
54	1.242718283
55	1.198826588
56	1.158407032
57	1.121435393
58	1.086750047
59	1.051607636
60	1.019073356
61	0.9896756327
62	0.9622664497
63	0.9370330905
64	0.9131806945
65	0.889710036
66	0.8699801934
67	0.8497202857
68	0.8314528139
69	0.8145257321
70	0.7990900533
71	0.7850122998
72	0.771772492
73	0.7580385716
74	0.746564248
75	0.7354867002
76	0.7245588072
77	0.7148641397
78	0.7064933402
79	0.6964235065
80	0.6878285215
81	0.6786629316
82	0.6697409357
83	0.6618379318
84	0.6547401343
85	0.648283215
86	0.6420441269
87	0.6361775639
88	0.6306039716
89	0.6252969169
90	0.6205294834
91	0.6162128183
92	0.6118976414
93	0.6079820444
94	0.6036436423
95	0.5995842814
96	0.595721591
97	0.5923066653
98	0.5889562891
99	0.5860282908
100	0.5831736183
101	0.5807886375
102	0.5783824303
103	0.5762587003
104	0.5742410716
105	0.5723383427
106	0.5707372897
107	0.5688642449
108	0.5669978487
109	0.5649249279
110	0.5631737091
111	0.5612286195
112	0.5597693316
113	0.5585862379
114	0.5570042088
115	0.5558153802
116	0.5548436198
117	0.5539159632
118	0.5526916651
119	0.5517698133
120	0.5509686117
121	0.5501285176
122	0.5492563482
123	0.548583893
124	0.5477834376
125	0.5464134426
126	0.5455009966
127	0.5448710755
128	0.5440294298
129	0.5429714876
130	0.5424089599
131	0.5416112723
132	0.5410509232
133	0.540099917
134	0.5396482348
135	0.5389114268
136	0.5383910954
137	0.5376716034
138	0.5369413893
139	0.5362641281
140	0.5358037558
141	0.5351011319
142	0.5345383807
143	0.5335722395
144	0.5330448867
145	0.5326213556
146	0.531912497
147	0.5311012007
148	0.530635574
149	0.5302343418
150	0.5296230417
151	0.5290143647
152	0.5286423903
153	0.5282267295
154	0.5278521331
155	0.5272089355
156	0.5268168335
157	0.5264346419
158	0.526083608
159	0.5257146581
160	0.5252615647
161	0.5247847589
162	0.5244262335
163	0.5240182913
164	0.5236013675
165	0.5231533664
166	0.5229260477
167	0.5225577991
168	0.5219838063
169	0.5216604177
170	0.5211924192
171	0.5208283953
172	0.5205446482
173	0.5202093139
174	0.5198390222
175	0.5195072235
176	0.5191452498
177	0.5189042626
178	0.5186421506
179	0.5183731428
180	0.5180750963
181	0.5177637876
182	0.5174426297
183	0.5171146889
184	0.5167932104
185	0.516467515
186	0.5162213889
187	0.5159000932
188	0.5155497001
189	0.5152097217
190	0.5149708274
191	0.5146463162
192	0.5141528496
193	0.5136911078
194	0.5133750404
195	0.5131385907
196	0.5126661869
197	0.5123915961
198	0.5120013317
199	0.511704431
200	0.5112749494
201	0.5108450261
202	0.5105992889
203	0.509903984
204	0.5095319074
205	0.5092272786
206	0.5089681065
207	0.5087421007
208	0.5084325754
209	0.5081656048
210	0.5078846512
211	0.5076369152
212	0.5073228384
213	0.5071377149
214	0.5069302556
215	0.5066641124
216	0.5064862049
217	0.5060928753
218	0.5057983976
219	0.5055108832
220	0.5049722743
221	0.5046442128
222	0.5043356785
223	0.504120843
224	0.5037880475
225	0.5035217279
226	0.5032373516
227	0.5030416665
228	0.5027752513
229	0.5025446263
230	0.5023070018
231	0.5019208923
232	0.5016771781
233	0.5012790438
234	0.5009532068
235	0.5005239452
236	0.5002614805
237	0.4998965341
238	0.4996714451
239	0.499220357
240	0.4990343013
241	0.4987567101
242	0.4984655112
243	0.498112181
244	0.4978155525
245	0.4975935696
246	0.4973209413
247	0.4970130258
248	0.496772561
249	0.496526281
250	0.4963073878
251	0.4960491715
252	0.4957653221
253	0.4955074536
254	0.4952667023
255	0.4949156897
256	0.4946852906
257	0.4943993641
258	0.494114122
259	0.4937615974
260	0.4935633475
261	0.49334029
262	0.4930610659
263	0.4928410161
264	0.4924950813
265	0.4921997463
266	0.4919915975
267	0.4918006139
268	0.4915217376
269	0.4913677299
270	0.4911173225
271	0.4908739632
272	0.4905631859
273	0.4903142122
274	0.4901415769
275	0.4899317435
276	0.4897611797
277	0.4895517815
278	0.4893470533
279	0.489127244
280	0.4888890852
281	0.4885174202
282	0.4883598788
283	0.488099918
284	0.4878996246
285	0.4877447586
286	0.487527778
287	0.4872920882
288	0.4870606294
289	0.4868671152
290	0.4865312314
291	0.48633575
292	0.4860655188
293	0.4858288367
294	0.4856451383
295	0.4853452158
296	0.4851769409
297	0.4848389467
298	0.4845509789
299	0.4843384081
300	0.4841752656
301	0.4839151033
302	0.48374892
303	0.4834982436
304	0.4833063229
305	0.4831480321
306	0.4829314136
307	0.4827515385
308	0.4825566203
309	0.4824156972
310	0.4822702004
311	0.4820882071
312	0.4819047597
313	0.4817287762
314	0.4815456442
315	0.4813960382
316	0.4812169081
317	0.4810391286
318	0.4808448534
319	0.4807067936
320	0.4805344752
321	0.4803730183
322	0.4801131194
323	0.4799696544
324	0.4797530284
325	0.4795877685
326	0.4793725681
327	0.4791728439
328	0.4790294752
329	0.4788433102
330	0.4786516035
331	0.4784690345
332	0.4782601065
333	0.4780285585
334	0.477812572
335	0.4776926169
336	0.4774860808
337	0.4772189654
338	0.4769945834
339	0.47683048
340	0.4766270998
341	0.4764731886
342	0.4763386941
343	0.4760837692
344	0.4759367576
345	0.4757979492
346	0.4755891275
347	0.4753425782
348	0.4751035562
349	0.4749512375
350	0.4747963181
351	0.474630347
352	0.4744283639
353	0.4742441172
354	0.4740636777
355	0.4739540873
356	0.4737770977
357	0.4735868604
358	0.4733786145
359	0.4731299293
360	0.4729976796
361	0.4728329438
362	0.4727099597
363	0.4725591836
364	0.47243052
365	0.4722890826
366	0.4721506499
367	0.471965484
368	0.4718270872
369	0.471613332
370	0.4714605632
371	0.4713017542
372	0.4711740576
373	0.4710033387
374	0.4707882435
375	0.4705417649
376	0.4703903272
377	0.4702602886
378	0.4701070213
379	0.4699401755
380	0.4697764564
381	0.469623294
382	0.4694625553
383	0.4693014808
384	0.4691089082
385	0.4689438775
386	0.4687886116
387	0.4685778651
388	0.4684275282
389	0.4682580677
390	0.4680846
391	0.4679518703
392	0.4678043727
393	0.4676205772
394	0.4675226696
395	0.4673252664
396	0.467219617
397	0.4670664325
398	0.4669425859
399	0.4668151907
400	0.4666583182
401	0.4665070286
402	0.4663733931
403	0.4661726612
404	0.4660406364
405	0.4658558979
406	0.4656478466
407	0.4655145618
408	0.4653427905
409	0.4651838434
410	0.465054561
411	0.4649096742
412	0.4647559594
413	0.4646354156
414	0.4645128445
415	0.4644103935
416	0.4642989763
417	0.4641793895
418	0.4640358645
419	0.463903585
420	0.4637704439
421	0.4636627011
422	0.4635480935
423	0.4634352207
424	0.463310481
425	0.4631987015
426	0.4630749516
427	0.4629280567
428	0.462806198
429	0.4626463804
430	0.462504279
431	0.4623365696
432	0.4621707579
433	0.4620798467
434	0.4619705853
435	0.4618367128
436	0.4617006683
437	0.4615674246
438	0.4614468973
439	0.4613079393
440	0.461220184
441	0.4610804317
442	0.4608920572
443	0.4607547819
444	0.4606192402
445	0.4604894642
446	0.4603771373
447	0.4602398419
448	0.4601183804
449	0.460013822
450	0.45993223
451	0.4597831471
452	0.4595765018
453	0.4594011894
454	0.4592183951
455	0.4591123723
456	0.4589878825
457	0.4588655122
458	0.4587718011
459	0.4586423748
460	0.4585201697
461	0.4584021066
462	0.4582566274
463	0.4581377483
464	0.4579500081
465	0.4577752836
466	0.4576549124
467	0.457527585
468	0.4573698642
469	0.4572788621
470	0.4571574456
471	0.4570389491
472	0.4569209819
473	0.4567627696
474	0.4565633443
475	0.4563748129
476	0.4562702021
477	0.4561218055
478	0.4559788146
479	0.4558601088
480	0.4557440696
481	0.4556486836
482	0.4555443272
483	0.4553814715
484	0.4552672331
485	0.4551885853
486	0.4550606802
487	0.4549240224
488	0.4547871888
489	0.45464667
490	0.4545134948
491	0.4544072581
492	0.4543073475
493	0.4541849901
494	0.4540481813
495	0.4539516215
496	0.4538264936
497	0.4537085307
498	0.4536212807
499	0.4535232276
500	0.4534072149
501	0.4533102609
502	0.4531660983
503	0.4530807232
504	0.4528828263
505	0.4527493851
506	0.4526201367
507	0.4525104751
508	0.452357554
509	0.4522671043
510	0.4521035282
511	0.4519985907
512	0.4518549821
513	0.4517344371
514	0.4516117179
515	0.4514784517
516	0.4513382213
517	0.4512218509
