iter	Passed	Remaining
0	387	1548770
1	666	1332601
2	930	1239926
3	1208	1207263
4	1467	1172275
5	1735	1155081
6	2016	1150146
7	2294	1144928
8	2555	1133218
9	2806	1119613
10	3070	1113582
11	3312	1100977
12	3553	1089707
13	3789	1078783
14	4022	1068712
15	4260	1060881
16	4497	1053694
17	4740	1048706
18	4989	1045527
19	5238	1042484
20	5486	1039538
21	5738	1037611
22	6000	1037637
23	6241	1033938
24	6511	1035288
25	6752	1032135
26	7012	1031932
27	7263	1030312
28	7509	1028252
29	7755	1026338
30	8003	1024712
31	8254	1023530
32	8510	1023113
33	8766	1022618
34	9027	1022630
35	9282	1022129
36	9537	1021505
37	9794	1021235
38	10052	1020956
39	10441	1033755
40	10805	1043394
41	11127	1048607
42	11408	1049811
43	11688	1050859
44	11962	1051347
45	12234	1051649
46	12508	1052034
47	12795	1053494
48	13083	1054986
49	13401	1058731
50	13654	1057313
51	13917	1056673
52	14155	1054189
53	14388	1051446
54	14624	1049009
55	14851	1045989
56	15082	1043307
57	15324	1041556
58	15585	1041043
59	15820	1038854
60	16070	1037747
61	16303	1035548
62	16538	1033501
63	16767	1031203
64	17006	1029577
65	17240	1027624
66	17486	1026478
67	17728	1025140
68	17962	1023317
69	18214	1022591
70	18446	1020808
71	18687	1019518
72	18922	1017901
73	19169	1017000
74	19397	1015109
75	19632	1013660
76	19871	1012414
77	20113	1011360
78	20345	1009796
79	20576	1008254
80	20810	1006867
81	21053	1005939
82	21290	1004749
83	21538	1004095
84	21773	1002865
85	22021	1002236
86	22246	1000594
87	22472	999003
88	22722	998505
89	22954	997260
90	23178	995650
91	23426	995098
92	23669	994382
93	23902	993230
94	24137	992198
95	24361	990721
96	24597	989733
97	24841	989106
98	25074	988052
99	25295	986513
100	25533	985683
101	25758	984377
102	25988	983256
103	26227	982520
104	26466	981765
105	26724	981749
106	26986	981859
107	27234	981433
108	27469	980583
109	27716	980148
110	27962	979699
111	28213	979418
112	28455	978805
113	28698	978256
114	28949	977995
115	29181	977088
116	29435	976901
117	29668	976028
118	29912	975550
119	30152	974933
120	30377	973843
121	30622	973399
122	30877	973266
123	31100	972155
124	31346	971732
125	31578	970920
126	31822	970468
127	32055	969686
128	32289	968948
129	32532	968467
130	32763	967636
131	32992	966771
132	33231	966199
133	33457	965275
134	33695	964694
135	33932	964084
136	34163	963297
137	34409	962956
138	34656	962656
139	34890	961986
140	35121	961244
141	35371	961000
142	35599	960203
143	35836	959608
144	36064	958822
145	36319	958741
146	36549	957981
147	36804	957900
148	37075	958247
149	37322	957942
150	37764	962627
151	38056	963430
152	38290	962761
153	38530	962250
154	38774	961865
155	39083	963056
156	39304	962080
157	39530	961249
158	39762	960555
159	39993	959839
160	40233	959357
161	40458	958520
162	40682	957666
163	40929	957360
164	41153	956518
165	41400	956199
166	41630	955500
167	41865	954929
168	42108	954533
169	42334	953768
170	42568	953183
171	42796	952479
172	43021	951690
173	43271	951481
174	43515	951128
175	43743	950417
176	43975	949817
177	44202	949112
178	44429	948403
179	44662	947833
180	44902	947417
181	45131	946766
182	45369	946318
183	45606	945841
184	45830	945103
185	46071	944719
186	46300	944080
187	46537	943621
188	46775	943191
189	47018	942844
190	47253	942341
191	47485	941794
192	47718	941270
193	47953	940768
194	48179	940115
195	48410	939557
196	48634	938866
197	48864	938296
198	49097	937789
199	49330	937288
200	49555	936618
201	49780	935972
202	50020	935607
203	50246	934975
204	50480	934513
205	50728	934282
206	50953	933662
207	51183	933115
208	51419	932688
209	51655	932255
210	51885	931725
211	52117	931223
212	52359	930913
213	52609	930751
214	52841	930253
215	53071	929728
216	53287	928968
217	53516	928439
218	53747	927934
219	53973	927365
220	54210	926983
221	54475	927071
222	54706	926567
223	54935	926050
224	55165	925553
225	55394	925031
226	55617	924419
227	55844	923889
228	56087	923613
229	56312	923042
230	56542	922545
231	56794	922425
232	57035	922117
233	57296	922137
234	57539	921861
235	57776	921493
236	58012	921100
237	58241	920611
238	58472	920141
239	58705	919719
240	58942	919354
241	59167	918809
242	59393	918273
243	59623	917804
244	59848	917271
245	60091	917008
246	60325	916606
247	60570	916370
248	60811	916082
249	61047	915718
250	61313	915798
251	61552	915471
252	61792	915157
253	62031	914837
254	62273	914565
255	62535	914578
256	62789	914485
257	63042	914361
258	63260	913731
259	63519	913705
260	63775	913622
261	64018	913362
262	64241	912812
263	64474	912411
264	64698	911881
265	64928	911441
266	65151	910907
267	65370	910314
268	65609	909995
269	65831	909449
270	66060	909004
271	66300	908707
272	66541	908430
273	66759	907833
274	66991	907425
275	67213	906898
276	67431	906308
277	67650	905740
278	67891	905468
279	68133	905207
280	68376	904955
281	68622	904740
282	68908	905063
283	69145	904728
284	69396	904587
285	69629	904203
286	69862	903832
287	70107	903611
288	70341	903244
289	70567	902778
290	70806	902479
291	71038	902091
292	71271	901714
293	71516	901502
294	71748	901110
295	71974	900649
296	72203	900232
297	72438	899895
298	72663	899419
299	72897	899069
300	73140	898825
301	73371	898434
302	73606	898100
303	73840	897746
304	74071	897362
305	74305	897006
306	74537	896633
307	74765	896215
308	75002	895901
309	75234	895538
310	75471	895225
311	75721	895064
312	75951	894669
313	76202	894530
314	76433	894152
315	76673	893882
316	76924	893728
317	77151	893310
318	77389	893015
319	77620	892638
320	77849	892242
321	78084	891914
322	78325	891646
323	78556	891278
324	78784	890872
325	79036	890740
326	79279	890498
327	79506	890087
328	79740	889745
329	79965	889310
330	80182	888790
331	80416	888454
332	80644	888055
333	80892	887875
334	81124	887530
335	81346	887062
336	81576	886693
337	81801	886266
338	82033	885910
339	82264	885556
340	82484	885073
